state,id,(,),{,},void,int,float,char,boolean,string,comma,;,:=,[,],if,else,while,return,charlit,strlit,&&,||,!,<,<=,=,!=,>=,>,true,false,+,-,/,*,%,intlit,floatlit,$,s',program,func-defs,func-def,ret-type,type,param-list,params,stmt-list,stmts,stmt,decl,vdecl,v-id-list,adecl,a-id-list,expr-list,assg,ifel,loop,rets,expr,bool-expr,bool-term,bool-primary,arth-expr,arth-term,arth-primary,func-call,arr-sub
96, , ,s124, , , , , , , , , , , , , , , , , , , , , , ,s70,s71,s72,s73,s74,s75, , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
97, , ,r55, , , , , , , , ,r55,r55, , ,r55, , , , , , ,r55,r55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
98, , , , , , , , , , , , , , , , , , , , , , , , , ,s70,s71,s72,s73,s74,s75, , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
99, , ,r56, , , , , , , , ,r56,r56, , ,r56, , , , , , ,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
100, , ,r69, , , , , , , , ,r69,r69, , ,r69, , , , , , ,r69,r69, ,r69,r69,r69,r69,r69,r69, , ,r69,r69,s81,s82,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101, , ,r70, , , , , , , , ,r70,r70, , ,r70, , , , , , ,r70,r70, ,r70,r70,r70,r70,r70,r70, , ,r70,r70,s81,s82,s83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
102, , ,r59, , , , , , , , ,r59,r59, , ,r59, , , , , , ,r59,r59, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
103, , ,r60, , , , , , , , ,r60,r60, , ,r60, , , , , , ,r60,r60, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
104, , ,r61, , , , , , , , ,r61,r61, , ,r61, , , , , , ,r61,r61, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
105, , ,r62, , , , , , , , ,r62,r62, , ,r62, , , , , , ,r62,r62, , , , , , , , , ,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
